Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
scatterbug,,0.0,0.0
houndour,,0.0,0.0
wiglett,,0.0,0.0
capsakid,,0.0,0.0
hoppip,,0.0,0.0
nymble,,0.0,0.0
tarountula,,0.0,0.0
flabebe,,0.0,0.0
zoroark-hisui,,0.00153,0.49756
quaxwell,,0.0,0.0
slakoth,,0.0,0.0
shuppet,,0.0,0.0
kricketot,,0.0,0.0
zorua-hisui,,0.0,0.0
crabrawler,,0.0,0.0
chi-yu,,37.43244,11.29759
ting-lu,,34.01782,2.70101
chien-pao,,31.75851,23.64677
wo-chien,,16.97695,0.2387
ursaluna,,18.843,3.61115
goodra-hisui,,9.21984,1.12362
basculegion,,6.35371,0.7011
enamorus-therian,,4.74553,0.58846
arcanine-hisui,,3.89183,3.26922
sneasler,,3.57246,0.58493
lilligant-hisui,,3.478,0.97988
enamorus,,3.10634,0.22936
kleavor,,2.68497,0.03425
typhlosion-hisui,,1.08423,0.09273
overqwil,,0.54256,0.03725
samurott-hisui,,0.53223,0.02996
wyrdeer,,0.39539,0.02855
chesnaught,,0.32165,0.01071
decidueye-hisui,,0.25838,0.01894
muk-alola,,0.25071,0.75696
greninja,,0.23,0.05375
braviary-hisui,,0.21846,0.0097
avalugg-hisui,,0.13614,0.00495
qwilfish-hisui,,0.13226,0.00605
typhlosion,,0.12151,0.00632
basculegion-f,,0.09413,0.01925
electrode-hisui,,0.0931,0.00596
delphox,,0.04391,0.02155
samurott,,0.00776,0.00024
sliggoo-hisui,,0.00165,0.0
oshawott,,0.0,0.0
sneasel-hisui,,1e-05,5e-05
braixen,,0.0,0.0
cyndaquil,,0.0,0.0
growlithe-hisui,,0.0,0.0
voltorb-hisui,,0.0,0.0
quilava,,0.0,0.0
dewott,,0.0,0.0
frogadier,,0.0,0.0
quilladin,,0.0,0.0
chespin,,0.0,0.0
gimmighoul-roaming,,0.0,0.0
grimer-alola,,0.0,0.0
fennekin,,0.0,0.0
froakie,,0.0,0.0
ogerpon-hearthflame,,0.00143,9.1193
ogerpon-wellspring,,18.28429,35.07103
sinistcha,,14.13466,1.52983
ursaluna-bloodmoon,,9.73372,13.66696
ogerpon,,4.49847,3.3219
okidogi,,3.8378,0.89916
ogerpon-cornerstone,,3.1175,2.64764
empoleon,,2.74108,0.21891
fezandipiti,,1.98453,0.25786
munkidori,,1.18178,0.05182
illumise,,0.41323,0.01111
dipplin,,0.34774,0.01063
torterra,,0.28781,0.02606
gliscor,,0.264,0.01988
infernape,,0.16735,0.01982
golem-alola,,0.11525,0.05107
volbeat,,0.10653,0.03474
ambipom,,0.09074,0.01539
arbok,,0.04876,0.00779
furret,,0.033,0.00428
victreebel,,0.02946,0.00202
probopass,,0.0282,0.00124
golem,,0.02096,0.00182
yanmega,,0.01989,0.00995
leavanny,,0.00706,0.00031
poltchageist,,0.00688,0.0
chimecho,,0.00405,1e-05
mightyena,,0.00347,1e-05
spinarak,,0.00302,0.0
ariados,,0.00294,0.00382
magcargo,,0.00287,0.00048
grotle,,0.00139,0.0
swanna,,0.00055,0.0
bellsprout,,0.0,0.0
gligar,,0.00025,0.0
graveler,,0.0,0.0
graveler-alola,,0.00017,0.0
nosepass,,0.00011,0.0
swadloon,,0.0,0.0
ekans,,5e-05,0.0
piplup,,5e-05,0.0
sentret,,0.0,0.0
yanma,,2e-05,0.0
turtwig,,0.0,0.0
prinplup,,1e-05,0.0
chimchar,,0.0,0.0
chingling,,0.0,0.0
aipom,,0.0,0.0
weepinbell,,0.0,0.0
slugma,,0.0,0.0
monferno,,0.0,0.0
ducklett,,0.0,0.0
geodude,,0.0,0.0
geodude-alola,,0.0,0.0
poochyena,,0.0,0.0
sewaddle,,0.0,0.0
raging-bolt,,,26.14914
iron-crown,,,7.84895
archaludon,,,7.53966
gouging-fire,,,5.59335
walking-wake,,,3.13596
smeargle,,,1.24201
iron-boulder,,,0.76113
hydrapple,,,0.3487
serperior,,,0.34286
iron-leaves,,,0.13521
rampardos,,,0.13404
bastiodon,,,0.04438
feraligatr,,,0.03425
dewgong,,,0.02417
meganium,,,0.0
emboar,,,0.01992
minior,,,0.01911
granbull,,,0.01013
toucannon,,,0.00347
dodrio,,,0.00376
zebstrika,,,0.00333
plusle,,,0.00076
minun,,,1e-05
pignite,,,0.0
snubbull,,,0.0
blitzle,,,0.0
cranidos,,,0.0
bayleef,,,0.0
tepig,,,0.0
servine,,,0.0
seel,,,0.0
shieldon,,,0.0
croconaw,,,0.0
doduo,,,0.0
trumbeak,,,0.0
snivy,,,0.0
pikipek,,,0.0
totodile,,,0.0
chikorita,,,0.0
terapagos,,,11.39173
miraidon,,,6.69576
koraidon,,,5.16294
dialga-origin,,,0.76042
palkia-origin,,,0.21694
