Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
inteleon,0.02842,0.03641,0.0124
accelgor,0.02835,,
slowbro,0.02799,0.05157,0.02571
tapu-bulu,0.0,,
moltres,0.0,0.18912,0.00767
lilligant,0.02567,1.45476,0.03788
magnezone,0.02556,0.53674,0.00722
blacephalon,0.02514,,
salazzle,0.02481,0.13971,0.01875
togetic,0.02331,,
cradily,0.02295,,
dugtrio,0.02237,0.02947,0.00138
malamar,0.02161,,0.19024
abomasnow,0.02136,1.62952,0.06627
heatran,0.02119,29.74608,1.86175
noivern,0.00106,0.03328,0.00475
toxtricity,0.02022,0.16847,0.00864
steelix,0.0,,
dhelmise,0.01815,,
jolteon,0.01735,0.01662,0.00748
mantine,0.01735,,
luxray,0.01722,0.03165,0.00736
torracat,0.0,,0.00602
durant,0.01686,,
golduck,0.01611,0.02501,0.01269
ribombee,0.01587,0.03048,0.04482
lotad,0.0,0.0,0.0
porygon-z,0.01407,,0.06244
obstagoon,0.01258,,
mandibuzz,0.01191,0.12325,0.01094
gigalith,0.0116,,
nidoking,0.01135,,
charjabug,0.01118,0.05135,0.00431
drapion,0.01102,,
buzzwole,0.01071,,
appletun,0.01058,0.02521,0.00131
jigglypuff,0.01032,2e-05,0.00064
caterpie,0.0,,
zamazenta,0.01022,,0.01179
lucario,0.01006,0.08553,0.05454
farfetch'd,0.0,,
sigilyph,0.00997,,
eldegoss,0.00981,,
stonjourner,0.00973,0.29701,0.01344
perrserker,0.00952,0.11305,0.02694
glaceon,0.00946,0.10547,0.03176
shiftry,0.00936,0.91003,0.0761
mr.-rime,0.00889,,
tangrowth,0.00883,,
leafeon,0.0,0.02129,0.00301
clawitzer,0.00846,0.28275,0.00473
flygon,0.0,,0.00894
goodra,0.00792,0.05327,0.01084
audino,0.00778,,
decidueye,0.0077,0.03489,0.01204
lickilicky,0.0,,
alakazam,0.00749,,
machamp,0.00738,,
dedenne,0.00726,0.00068,0.00274
vikavolt,0.0,0.29709,0.03409
cursola,0.00681,,
gardevoir,0.00658,0.64392,0.03996
aromatisse,0.0,,
gallade,0.00619,0.57841,1.02223
arctozolt,0.00608,,
drampa,0.00596,,
boltund,0.00596,,
crawdaunt,0.00593,0.06258,0.01103
exeggutor,0.0059,,0.07766
trevenant,0.00584,0.04667,0.0073
exeggutor-alola,0.00577,,0.06737
regirock,0.00564,,0.02914
raichu-alola,0.00562,0.0096,0.00836
xurkitree,0.00558,,
slowking-galar,0.00544,0.11105,0.03606
slowbro-galar,0.00542,0.03762,0.01184
drednaw,0.03444,0.71084,0.00898
kabutops,0.00512,,
ninjask,0.00493,,
uxie,0.0,0.19074,0.01742
vaporeon,0.00484,0.42939,0.00777
blaziken,0.00474,,0.12005
cloyster,0.00468,0.0565,0.00195
espeon,0.00465,0.01149,0.03198
ninetales,0.00462,0.89173,0.26427
zacian,0.00451,,0.10091
lycanroc-dusk,0.00451,0.01247,0.00203
articuno,0.00441,0.25015,0.14175
stoutland,0.00439,,
manectric,0.0,,
spritzee,0.0,,
reuniclus,0.0041,,0.08821
sirfetch'd,0.00401,,
vanilluxe,0.0,,
lunatone,0.0,,
golisopod,0.00392,,
flareon,0.0001,0.00235,0.00082
wigglytuff,1e-05,0.01243,0.00096
regice,0.0,,0.14491
quagsire,0.0,0.00549,0.00102
guzzlord,0.0035,,
mr.-mime-galar,0.0,,
archeops,0.00348,,
starmie,0.0,,
sudowoodo,0.0,0.0,0.00018
froslass,0.00326,0.01308,0.00909
kommo-o,0.00324,3.64543,0.60637
orbeetle,0.0,,
corsola-galar,0.00316,,
scolipede,0.00307,,
rhydon,1e-05,,0.01743
eiscue,7e-05,0.01067,0.0026
sceptile,0.00277,,0.10106
poliwrath,0.00276,0.03525,0.00365
kingler,0.00258,,
sneasel,0.0025,0.00046,0.00567
basculin,0.0,8e-05,0.0
rapidash,0.0,,
blissey,0.00243,0.00559,0.00862
qwilfish,0.00243,0.0,0.0
doublade,0.0,,
darmanitan,0.00235,,
hippowdon,0.00233,0.02647,0.00792
galvantula,0.00232,,0.01135
lopunny,0.0,,
swoobat,0.00216,,
altaria,0.00028,0.0406,0.00669
palossand,0.002,0.01431,0.01501
dusknoir,0.00194,0.0336,0.00104
aggron,0.00191,,
azelf,0.00188,0.14736,0.01523
tornadus-therian,0.0,0.02164,0.00933
morpeko,0.0,0.00579,0.00121
emolga,3e-05,,
seaking,0.00183,,
unfezant,0.0,,
tangela,0.00165,,
hawlucha,0.00163,1.14419,0.00549
flapple,0.00154,0.01783,0.00049
heatmor,0.0,,
klinklang,0.0,,
garbodor,2e-05,,
dragalge,0.00147,0.04962,0.00892
gourgeist,0.0,,
beartic,0.00142,0.06871,0.00493
dugtrio-alola,0.0,0.00079,0.0001
cosmog,0.0,,1e-05
maractus,0.00137,,
koffing,0.0,0.00152,2e-05
thievul,0.0,,
arctovish,0.00131,,
spiritomb,0.0013,0.22041,0.00867
trapinch,0.0,,0.00218
pangoro,0.0,,
scyther,0.00159,0.00649,0.00488
bellossom,0.0,,0.00233
nidoqueen,3e-05,,
crustle,0.00012,,
omastar,0.00116,,
passimian,0.00113,0.0,0.00132
cottonee,0.0,,5e-05
gourgeist-small,0.0011,,
tauros,0.00109,0.00101,0.00168
electivire,0.00107,,0.03329
octillery,0.0,,
bronzor,0.0,0.0,0.0
shiinotic,0.00096,,
slurpuff,0.0,,
tentacruel,1e-05,,0.00485
falinks,0.00088,0.0018,0.00286
roserade,9e-05,,
armaldo,0.0008,,
rapidash-galar,0.0,,
gothorita,0.0,0.04104,0.03877
polteageist,0.00076,0.01387,0.00246
lycanroc,0.0,1.21018,0.69384
sandaconda,0.00074,0.01599,0.00275
baltoy,0.0,,
skuntank,0.0,0.00958,0.0
virizion,0.00069,,0.01153
cosmoem,0.0,,0.00043
pyukumuku,0.00063,,
rotom-frost,0.0,0.11637,0.00079
linoone,0.0,,
dubwool,0.0,,
exploud,0.0006,,
carbink,0.0006,0.03079,0.00591
cryogonal,0.0,0.0,0.00959
lickitung,0.0,,
beheeyem,0.0,,
avalugg,0.00053,0.00455,0.00549
